rows_per_block,rows_merged,merge,matrix,rho,seed,motion,steps
6207,2249,2.7598932859048464,ct20stif,0.05,21,drift,400
8030,1996,4.0230460921843685,ct20stif,0.25,17,drift,400
6386,1674,3.814814814814815,ct20stif,0.25,18,drift,400
8252,2365,3.489217758985201,ct20stif,0.25,19,drift,400
8353,2231,3.744060959211116,ct20stif,0.25,20,drift,400
8750,2832,3.089689265536723,ct20stif,0.25,21,drift,400
5557,1371,4.053245805981036,ct20stif,0.0,17,jump,400
3050,708,4.307909604519774,ct20stif,0.0,18,jump,400
3944,1065,3.7032863849765256,ct20stif,0.0,19,jump,400
4142,1140,3.6333333333333333,ct20stif,0.0,20,jump,400
4613,1421,3.2463054187192117,ct20stif,0.0,21,jump,400
20007,15163,1.3194618479192772,ct20stif,0.002,17,jump,400
19431,14937,1.3008636272343843,ct20stif,0.002,18,jump,400
19924,15097,1.3197323971649997,ct20stif,0.002,19,jump,400
20431,15575,1.3117817014446227,ct20stif,0.002,20,jump,400
20072,15201,1.3204394447733703,ct20stif,0.002,21,jump,400
22229,18326,1.2129760995307213,ct20stif,0.01,17,jump,400
22127,18373,1.204321558809122,ct20stif,0.01,18,jump,400
22264,17893,1.2442854747666685,ct20stif,0.01,19,jump,400
22563,17722,1.2731632998532898,ct20stif,0.01,20,jump,400
22205,18106,1.2263890423064177,ct20stif,0.01,21,jump,400
22524,17820,1.263973063973064,ct20stif,0.05,17,jump,400
22063,17708,1.2459340411113622,ct20stif,0.05,18,jump,400
23146,18635,1.2420713710759324,ct20stif,0.05,19,jump,400
21816,17838,1.2230070635721493,ct20stif,0.05,20,jump,400
21959,18174,1.208264553758116,ct20stif,0.05,21,jump,400
22343,18329,1.2189972175241421,ct20stif,0.25,17,jump,400
21547,17613,1.2233577471186057,ct20stif,0.25,18,jump,400
21962,17849,1.2304330774833323,ct20stif,0.25,19,jump,400
21811,17941,1.2157070397413745,ct20stif,0.25,20,jump,400
21144,17291,1.2228326875253022,ct20stif,0.25,21,jump,400
2699,674,4.0044510385756675,s3rmt3m3,0.0,17,drift,400
2457,597,4.115577889447236,s3rmt3m3,0.0,18,drift,400
2280,498,4.578313253012048,s3rmt3m3,0.0,19,drift,400
2568,612,4.196078431372549,s3rmt3m3,0.0,20,drift,400
2208,471,4.687898089171974,s3rmt3m3,0.0,21,drift,400
